"species_symbol","max_age"
"2TB",73
"2TREE",96
"ABAM",617
"ABBA",164
"ABCO",603
"ABFR",80
"ABGR",550
"ABIES",60
"ABLA",529
"ABLAA",523
"ABMA",544
"ABPR",624
"ABSH",608
"ACBA3",91
"ACER",97
"ACFA",122
"ACGL",300
"ACGR3",225
"ACLE",74
"ACMA3",552
"ACNE2",300
"ACNI5",144
"ACPE",80
"ACPL",139
"ACRU",184
"ACSA2",193
"ACSA3",194
"ACSP2",131
"AECA",203
"AEFL",113
"AEGL",99
"AEGLA",25
"AESCU",68
"AESY",22
"AIAL",111
"ALGL2",115
"ALJU",76
"ALNUS",40
"ALOB2",355
"ALRH2",356
"ALRU2",294
"AMAR3",84
"AMELA",99
"AMSA",22
"ANGL4",37
"ARAR2",359
"ARECA",71
"ARME",471
"ARXA80",153
"ASTR",67
"AVGE",41
"BEAL2",198
"BELE",132
"BENI",97
"BEOC2",143
"BEPA",307
"BEPO",91
"BETUL",44
"BUSI",44
"CAAL27",166
"CAAQ2",104
"CABI8",75
"CACA18",89
"CACA38",68
"CACO15",169
"CADE12",119
"CADE27",648
"CAFL6",28
"CAGL8",167
"CAIL2",140
"CALA21",148
"CALE28",46
"CAMO83",62
"CAMY",62
"CAOV2",174
"CAOV3",141
"CAPA24",84
"CAPU9",39
"CAPUO",54
"CARYA",88
"CASP8",139
"CASTA",10
"CATAL",87
"CATE9",133
"CECA4",88
"CELA",160
"CELAR",117
"CELE3",400
"CELTI",91
"CEOC",144
"CHCHC4",343
"CHLA",652
"CHNO",599
"CHTH2",103
"CICA",57
"CITRU2",29
"CLKE",76
"COAR",1
"COBO2",31
"CODI8",34
"COER2",37
"COFL2",81
"COHO",60
"CONU4",228
"COOB2",52
"COSE2",11
"CRATA",107
"CRCR2",72
"CRMO2",64
"CUAR",297
"CUBA",140
"CUMA",75
"CUMA2",126
"CUPRE",99
"CUSA3",154
"DIOSP",9
"DITE3",69
"DIVI5",83
"EBEB",34
"EHAN",57
"ELAN",70
"EUCAL",357
"EUGL",93
"EUGR12",38
"EURH",2
"FAGR",170
"FIAU",38
"FRAM2",195
"FRAXI",105
"FRCA3",78
"FRLA",214
"FRNI",183
"FRPE",185
"FRPR",93
"FRQU",141
"FRTE",56
"FRVE2",211
"GIBI2",61
"GLAQ",71
"GLEDI",34
"GLTR",139
"GOLA",77
"GUDI",28
"GYDI",80
"HACA3",86
"HADI3",33
"HALES",85
"ILOP",92
"JUAS",180
"JUCA",58
"JUCA7",378
"JUCI",197
"JUCO11",458
"JUDE2",511
"JUFL",148
"JUGLA",66
"JUHI",139
"JUMA",296
"JUMI",126
"JUMO",505
"JUNI",151
"JUNIP",65
"JUOC",712
"JUOS",699
"JUPI",190
"JUSC2",723
"JUVI",295
"JUVIS",72
"LALA",182
"LALY",683
"LAOC",549
"LARA2",43
"LARIX",137
"LEPU3",31
"LIDE3",427
"LIST2",116
"LITU",159
"MAAC",132
"MAAN3",37
"MACO5",59
"MAFR",106
"MAFU",86
"MAGNO",100
"MAGR4",89
"MAIO",41
"MALUS",119
"MAMA2",79
"MAPO",98
"MATR",72
"MAVI2",92
"MEAZ",67
"MEQU",44
"METO3",35
"MOAL",122
"MOMI",26
"MORU2",213
"MORUS",84
"NYAQ2",90
"NYBI",99
"NYOG",66
"NYSSA",10
"NYSY",144
"OLTE",229
"OSVI",112
"OXAR",95
"PATO2",102
"PEBO",84
"PIAB",140
"PIAL",793
"PIAR",1011
"PIAR5",277
"PIAT",479
"PIBA",792
"PIBA2",155
"PIBR",351
"PICE",334
"PICEA",48
"PICL",90
"PICO",652
"PICO3",515
"PIDI3",341
"PIEC2",107
"PIED",647
"PIEL",100
"PIEN",878
"PIEN2",279
"PIFL2",743
"PIGL",237
"PIGL2",106
"PIJE",631
"PILA",669
"PILE",283
"PILO",399
"PIMA",181
"PIMO",530
"PIMO3",636
"PIMOF",354
"PIMU",267
"PINI",138
"PIPA2",107
"PIPO",748
"PIPU",666
"PIPU5",98
"PIRA2",231
"PIRE",217
"PIRE5",150
"PIRI",131
"PIRU",139
"PISA2",388
"PISE",88
"PISI",645
"PIST",267
"PIST3",524
"PISY",138
"PITA",109
"PIVI2",128
"PIWA",377
"PLAQ",68
"PLATA",7
"PLOC",154
"PLRA",284
"PLWR2",285
"POAL7",83
"POAN3",486
"POBA2",164
"POBAT",553
"PODE3",185
"PODEM",304
"POFR2",296
"POGR4",181
"POHE4",84
"PONI",53
"POPUL",83
"POTR5",549
"PRAM",73
"PRAV",108
"PRCE",145
"PREM",119
"PRGL2",306
"PRNI",42
"PROSO",74
"PRPE2",104
"PRPE3",42
"PRPU",166
"PRSE2",176
"PRUNU",91
"PRVE",318
"PRVI",100
"PSMA",338
"PSME",882
"QUAC80",25
"QUAG",542
"QUAL",158
"QUAR",529
"QUBI",152
"QUBU2",83
"QUCH2",443
"QUCO2",137
"QUDO",395
"QUEL",192
"QUEM",321
"QUEN",404
"QUERC",87
"QUFA",110
"QUGA",527
"QUGA4",369
"QUGR",130
"QUGR2",125
"QUGR3",421
"QUHY",317
"QUIL",95
"QUIM",104
"QUIN",69
"QUKE",419
"QULA",103
"QULA2",82
"QULA3",105
"QULO",382
"QULY",118
"QUMA2",195
"QUMA3",90
"QUMA6",90
"QUMI",125
"QUMI2",49
"QUMU",147
"QUNI",106
"QUOB",295
"QUOG",33
"QUPA2",150
"QUPA5",103
"QUPH",100
"QUPR",8
"QUPR2",138
"QURU",198
"QURU4",287
"QUSH",99
"QUSI2",108
"QUSIS",89
"QUST",140
"QUTE",100
"QUVE",155
"QUVI",128
"QUWI2",300
"RHMA2",39
"ROPS",149
"ROYST",34
"SAAL2",118
"SAAL5",144
"SAAM2",138
"SABE2",100
"SACA5",45
"SALIX",180
"SANI",171
"SAPA",77
"SAPY",37
"SASAD",63
"SASE10",88
"SEGI2",467
"SESE3",687
"SILAL3",69
"SISA6",1
"SOAF",33
"SOAM3",96
"SOAU",22
"SODE3",66
"SORBU",86
"SWMA2",35
"SYCU",33
"TAAS",87
"TABR2",251
"TADI2",106
"TAMAR2",23
"THMO4",36
"THOC2",284
"THPL",656
"TIAM",197
"TIAMC",78
"TIAMH",90
"TILIA",94
"TOCA",239
"TRSE6",70
"TSCA",226
"TSCA2",83
"TSHE",670
"TSME",633
"TSUGA",49
"ULAL",94
"ULAM",171
"ULCR",116
"ULMUS",100
"ULPU",150
"ULRU",150
"ULSE",49
"ULTH",133
"UMCA",320
"VEFO",40
