Year,Month,Variable,101
1895,1,mintemp,1.1
1895,2,mintemp,-3.3
1895,3,mintemp,5.2
1895,4,mintemp,10.4
1895,5,mintemp,14.5
1895,6,mintemp,18.7
1895,7,mintemp,20.4
1895,8,mintemp,20.4
1895,9,mintemp,18.7
1895,10,mintemp,7
1895,11,mintemp,5.5
1895,12,mintemp,0.8
1896,1,mintemp,1.3
1896,2,mintemp,2.3
1896,3,mintemp,4.4
1896,4,mintemp,13.2
1896,5,mintemp,17.4
1896,6,mintemp,19
1896,7,mintemp,21.6
1896,8,mintemp,21.6
1896,9,mintemp,17.2
1896,10,mintemp,10.3
1896,11,mintemp,8.1
1896,12,mintemp,1.4
1897,1,mintemp,-0.2
1897,2,mintemp,4.4
1897,3,mintemp,9.4
1897,4,mintemp,9.5
1897,5,mintemp,13
1897,6,mintemp,19.9
1897,7,mintemp,21.1
1897,8,mintemp,20.1
1897,9,mintemp,16.6
1897,10,mintemp,10.5
1897,11,mintemp,4.3
1897,12,mintemp,2.9
1898,1,mintemp,3.9
1898,2,mintemp,0.9
1898,3,mintemp,9.5
1898,4,mintemp,7.7
1898,5,mintemp,15.6
1898,6,mintemp,20.1
1898,7,mintemp,21
1898,8,mintemp,20.8
1898,9,mintemp,18.1
1898,10,mintemp,9.7
1898,11,mintemp,4.1
1898,12,mintemp,1.1
1899,1,mintemp,1.4
1899,2,mintemp,-1
1899,3,mintemp,6.4
1899,4,mintemp,10.3
1899,5,mintemp,16.9
1899,6,mintemp,19.7
1899,7,mintemp,20.2
1899,8,mintemp,21.1
1899,9,mintemp,14.7
1899,10,mintemp,12.3
1899,11,mintemp,5.5
1899,12,mintemp,1
1900,1,mintemp,-0.7
1900,2,mintemp,-0.2
1900,3,mintemp,4.6
1900,4,mintemp,10.5
1900,5,mintemp,13.9
1900,6,mintemp,19.6
1900,7,mintemp,20.6
1900,8,mintemp,20.5
1900,9,mintemp,18.6
1900,10,mintemp,14.7
1900,11,mintemp,6.6
1900,12,mintemp,1.6
1901,1,mintemp,1.3
1901,2,mintemp,-0.1
1901,3,mintemp,5
1901,4,mintemp,7.4
1901,5,mintemp,13.4
1901,6,mintemp,19
1901,7,mintemp,20.5
1901,8,mintemp,18.8
1901,9,mintemp,15.8
1901,10,mintemp,8.9
1901,11,mintemp,1
1901,12,mintemp,-0.7
1902,1,mintemp,-0.7
1902,2,mintemp,-0.4
1902,3,mintemp,6.5
1902,4,mintemp,9
1902,5,mintemp,17
1902,6,mintemp,20
1902,7,mintemp,21.5
1902,8,mintemp,21.3
1902,9,mintemp,16.6
1902,10,mintemp,10.3
1902,11,mintemp,7.4
1902,12,mintemp,1.4
1903,1,mintemp,0.9
1903,2,mintemp,2.6
1903,3,mintemp,10.3
1903,4,mintemp,8.7
1903,5,mintemp,14.1
1903,6,mintemp,16
1903,7,mintemp,20
1903,8,mintemp,20.6
1903,9,mintemp,15.2
1903,10,mintemp,9.2
1903,11,mintemp,4.1
1903,12,mintemp,-2.9
1904,1,mintemp,-1.4
1904,2,mintemp,2.9
1904,3,mintemp,7.3
1904,4,mintemp,8.4
1904,5,mintemp,12.5
1904,6,mintemp,17.6
1904,7,mintemp,18.7
1904,8,mintemp,19.3
1904,9,mintemp,16.7
1904,10,mintemp,8.4
1904,11,mintemp,1.7
1904,12,mintemp,-0.4
1905,1,mintemp,-2.9
1905,2,mintemp,-1.8
1905,3,mintemp,8.1
1905,4,mintemp,10.7
1905,5,mintemp,17.4
1905,6,mintemp,18.9
1905,7,mintemp,19.2
1905,8,mintemp,19.4
1905,9,mintemp,16
1905,10,mintemp,10.7
1905,11,mintemp,5.8
1905,12,mintemp,0.9
1906,1,mintemp,1.5
1906,2,mintemp,0.5
1906,3,mintemp,4.8
1906,4,mintemp,10.2
1906,5,mintemp,13.8
1906,6,mintemp,19
1906,7,mintemp,19.9
1906,8,mintemp,20.9
1906,9,mintemp,20.1
